[2024-10-04T23:17:28.447+0000] {logging_mixin.py:190} INFO - R$ 1.125,00
[2024-10-04T23:17:28.448+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:17:28.448+0000] {logging_mixin.py:190} INFO - R$ 447,35
[2024-10-04T23:17:28.449+0000] {logging_mixin.py:190} INFO - R$ 1.884,99
[2024-10-04T23:17:28.449+0000] {logging_mixin.py:190} INFO - R$ 484,99
[2024-10-04T23:17:28.450+0000] {logging_mixin.py:190} INFO - R$ 954,99
[2024-10-04T23:17:28.451+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:17:28.451+0000] {logging_mixin.py:190} INFO - R$ 2.659,99
[2024-10-04T23:17:28.452+0000] {logging_mixin.py:190} INFO - R$ 1.014,99
[2024-10-04T23:17:28.452+0000] {logging_mixin.py:190} INFO - R$ 458,63
[2024-10-04T23:17:28.453+0000] {logging_mixin.py:190} INFO - R$ 1.679,99
[2024-10-04T23:17:28.454+0000] {logging_mixin.py:190} INFO - R$ 1.179,99
[2024-10-04T23:17:28.454+0000] {logging_mixin.py:190} INFO - R$ 346,56
[2024-10-04T23:17:28.455+0000] {logging_mixin.py:190} INFO - R$ 240,00
[2024-10-04T23:17:38.706+0000] {logging_mixin.py:190} INFO - R$ 407,55
[2024-10-04T23:17:38.707+0000] {logging_mixin.py:190} INFO - R$ 199,00
[2024-10-04T23:17:38.707+0000] {logging_mixin.py:190} INFO - R$ 1.619,99
[2024-10-04T23:17:38.708+0000] {logging_mixin.py:190} INFO - R$ 5.904,99
[2024-10-04T23:17:38.709+0000] {logging_mixin.py:190} INFO - R$ 1.039,99
[2024-10-04T23:17:38.709+0000] {logging_mixin.py:190} INFO - R$ 999,99
[2024-10-04T23:17:38.710+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:17:38.711+0000] {logging_mixin.py:190} INFO - R$ 2.904,99
[2024-10-04T23:17:38.711+0000] {logging_mixin.py:190} INFO - R$ 2.594,99
[2024-10-04T23:17:38.712+0000] {logging_mixin.py:190} INFO - R$ 3.379,99
[2024-10-04T23:17:38.713+0000] {logging_mixin.py:190} INFO - R$ 165,09
[2024-10-04T23:17:38.713+0000] {logging_mixin.py:190} INFO - R$ 640,04
[2024-10-04T23:17:38.714+0000] {logging_mixin.py:190} INFO - R$ 175,81
[2024-10-04T23:17:38.714+0000] {logging_mixin.py:190} INFO - R$ 834,15
[2024-10-04T23:17:38.715+0000] {logging_mixin.py:190} INFO - R$ 3.594,99
[2024-10-04T23:17:38.716+0000] {logging_mixin.py:190} INFO - R$ 2.879,99
[2024-10-04T23:17:38.717+0000] {logging_mixin.py:190} INFO - R$ 529,90
[2024-10-04T23:17:38.717+0000] {logging_mixin.py:190} INFO - R$ 1.402,20
[2024-10-04T23:17:38.718+0000] {logging_mixin.py:190} INFO - R$ 1.377,90
[2024-10-04T23:17:38.718+0000] {logging_mixin.py:190} INFO - R$ 4.209,99
[2024-10-04T23:17:38.719+0000] {logging_mixin.py:190} INFO - R$ 1.509,99
[2024-10-04T23:17:38.720+0000] {logging_mixin.py:190} INFO - R$ 4.994,99
[2024-10-04T23:17:38.720+0000] {logging_mixin.py:190} INFO - R$ 579,99
[2024-10-04T23:17:38.721+0000] {logging_mixin.py:190} INFO - R$ 964,99
[2024-10-04T23:17:38.721+0000] {logging_mixin.py:190} INFO - R$ 1.994,99
[2024-10-04T23:17:38.722+0000] {logging_mixin.py:190} INFO - R$ 1.679,99
[2024-10-04T23:17:38.723+0000] {logging_mixin.py:190} INFO - R$ 5.059,99
[2024-10-04T23:17:38.723+0000] {logging_mixin.py:190} INFO - R$ 2.199,99
[2024-10-04T23:17:38.724+0000] {logging_mixin.py:190} INFO - R$ 1.769,99
[2024-10-04T23:17:38.725+0000] {logging_mixin.py:190} INFO - R$ 333,93
