[2024-10-04T23:26:20.134+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-04T23:26:20.150+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: SitesWebScraping.kabum_tasks.Web_Extraction_kabum manual__2024-10-04T23:26:16.456881+00:00 [queued]>
[2024-10-04T23:26:20.158+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: SitesWebScraping.kabum_tasks.Web_Extraction_kabum manual__2024-10-04T23:26:16.456881+00:00 [queued]>
[2024-10-04T23:26:20.159+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-04T23:26:20.174+0000] {taskinstance.py:2888} INFO - Executing <Task(OperatorSiteB): kabum_tasks.Web_Extraction_kabum> on 2024-10-04 23:26:16.456881+00:00
[2024-10-04T23:26:20.179+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4954) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-10-04T23:26:31.966+0000] {logging_mixin.py:190} INFO - R$ 854,99
[2024-10-04T23:26:31.967+0000] {logging_mixin.py:190} INFO - R$ 1.689,99
[2024-10-04T23:26:31.968+0000] {logging_mixin.py:190} INFO - R$ 624,99
[2024-10-04T23:26:31.968+0000] {logging_mixin.py:190} INFO - R$ 809,00
[2024-10-04T23:26:31.969+0000] {logging_mixin.py:190} INFO - R$ 614,99
[2024-10-04T23:26:31.970+0000] {logging_mixin.py:190} INFO - R$ 504,99
[2024-10-04T23:26:31.970+0000] {logging_mixin.py:190} INFO - R$ 959,99
[2024-10-04T23:26:31.971+0000] {logging_mixin.py:190} INFO - R$ 544,99
[2024-10-04T23:26:31.971+0000] {logging_mixin.py:190} INFO - R$ 469,90
[2024-10-04T23:26:31.972+0000] {logging_mixin.py:190} INFO - R$ 2.029,99
[2024-10-04T23:26:31.972+0000] {logging_mixin.py:190} INFO - R$ 1.549,99
[2024-10-04T23:26:31.973+0000] {logging_mixin.py:190} INFO - R$ 1.389,99
[2024-10-04T23:26:31.974+0000] {logging_mixin.py:190} INFO - R$ 1.139,99
[2024-10-04T23:26:31.974+0000] {logging_mixin.py:190} INFO - R$ 674,99
[2024-10-04T23:26:31.975+0000] {logging_mixin.py:190} INFO - R$ 1.494,99
[2024-10-04T23:26:31.975+0000] {logging_mixin.py:190} INFO - R$ 809,99
[2024-10-04T23:26:31.976+0000] {logging_mixin.py:190} INFO - R$ 619,90
[2024-10-04T23:26:31.977+0000] {logging_mixin.py:190} INFO - R$ 2.239,99
[2024-10-04T23:26:31.977+0000] {logging_mixin.py:190} INFO - R$ 399,99
[2024-10-04T23:26:31.978+0000] {logging_mixin.py:190} INFO - R$ 437,89
[2024-10-04T23:26:31.979+0000] {logging_mixin.py:190} INFO - R$ 599,99
[2024-10-04T23:26:31.979+0000] {logging_mixin.py:190} INFO - R$ 1.084,99
[2024-10-04T23:26:31.980+0000] {logging_mixin.py:190} INFO - R$ 1.379,99
[2024-10-04T23:26:31.980+0000] {logging_mixin.py:190} INFO - R$ 509,00
[2024-10-04T23:26:31.981+0000] {logging_mixin.py:190} INFO - R$ 824,99
[2024-10-04T23:26:31.982+0000] {logging_mixin.py:190} INFO - R$ 1.954,99
[2024-10-04T23:26:31.982+0000] {logging_mixin.py:190} INFO - R$ 549,10
[2024-10-04T23:26:31.983+0000] {logging_mixin.py:190} INFO - R$ 1.399,99
[2024-10-04T23:26:31.983+0000] {logging_mixin.py:190} INFO - R$ 1.189,99
[2024-10-04T23:26:31.984+0000] {logging_mixin.py:190} INFO - R$ 609,99
[2024-10-04T23:26:31.984+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:26:31.985+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:26:31.986+0000] {logging_mixin.py:190} INFO - R$ 1.228,44
[2024-10-04T23:26:31.986+0000] {logging_mixin.py:190} INFO - R$ 685,99
[2024-10-04T23:26:31.987+0000] {logging_mixin.py:190} INFO - R$ 1.294,99
[2024-10-04T23:26:31.987+0000] {logging_mixin.py:190} INFO - R$ 499,99
[2024-10-04T23:26:31.988+0000] {logging_mixin.py:190} INFO - R$ 540,00
[2024-10-04T23:26:31.988+0000] {logging_mixin.py:190} INFO - R$ 1.969,99
[2024-10-04T23:26:31.989+0000] {logging_mixin.py:190} INFO - R$ 1.887,10
[2024-10-04T23:26:31.990+0000] {logging_mixin.py:190} INFO - R$ 470,85
[2024-10-04T23:26:31.990+0000] {logging_mixin.py:190} INFO - R$ 759,90
[2024-10-04T23:26:31.991+0000] {logging_mixin.py:190} INFO - R$ 769,99
[2024-10-04T23:26:31.991+0000] {logging_mixin.py:190} INFO - R$ 689,99
[2024-10-04T23:26:31.992+0000] {logging_mixin.py:190} INFO - R$ 1.149,99
[2024-10-04T23:26:31.993+0000] {logging_mixin.py:190} INFO - R$ 939,99
[2024-10-04T23:26:31.993+0000] {logging_mixin.py:190} INFO - R$ 934,99
[2024-10-04T23:26:31.994+0000] {logging_mixin.py:190} INFO - R$ 1.169,99
[2024-10-04T23:26:31.994+0000] {logging_mixin.py:190} INFO - R$ 1.449,99
[2024-10-04T23:26:31.995+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:26:31.996+0000] {logging_mixin.py:190} INFO - R$ 499,90
[2024-10-04T23:26:31.996+0000] {logging_mixin.py:190} INFO - R$ 1.509,99
[2024-10-04T23:26:31.997+0000] {logging_mixin.py:190} INFO - R$ 517,85
[2024-10-04T23:26:31.997+0000] {logging_mixin.py:190} INFO - R$ 1.149,99
[2024-10-04T23:26:31.998+0000] {logging_mixin.py:190} INFO - R$ 1.594,99
[2024-10-04T23:26:31.999+0000] {logging_mixin.py:190} INFO - R$ 3.224,99
[2024-10-04T23:26:31.999+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:26:32.000+0000] {logging_mixin.py:190} INFO - R$ 338,44
[2024-10-04T23:26:32.000+0000] {logging_mixin.py:190} INFO - R$ 1.125,00
[2024-10-04T23:26:32.001+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:26:32.002+0000] {logging_mixin.py:190} INFO - R$ 447,35
[2024-10-04T23:26:32.002+0000] {logging_mixin.py:190} INFO - R$ 1.884,99
[2024-10-04T23:26:32.003+0000] {logging_mixin.py:190} INFO - R$ 484,99
[2024-10-04T23:26:32.004+0000] {logging_mixin.py:190} INFO - R$ 954,99
[2024-10-04T23:26:32.004+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:26:32.005+0000] {logging_mixin.py:190} INFO - R$ 2.659,99
[2024-10-04T23:26:32.006+0000] {logging_mixin.py:190} INFO - R$ 1.014,99
[2024-10-04T23:26:32.006+0000] {logging_mixin.py:190} INFO - R$ 458,63
[2024-10-04T23:26:32.007+0000] {logging_mixin.py:190} INFO - R$ 1.679,99
[2024-10-04T23:26:32.007+0000] {logging_mixin.py:190} INFO - R$ 1.179,99
[2024-10-04T23:26:32.008+0000] {logging_mixin.py:190} INFO - R$ 346,56
[2024-10-04T23:26:32.009+0000] {logging_mixin.py:190} INFO - R$ 240,00
[2024-10-04T23:26:41.735+0000] {logging_mixin.py:190} INFO - R$ 407,55
[2024-10-04T23:26:41.736+0000] {logging_mixin.py:190} INFO - R$ 199,00
[2024-10-04T23:26:41.737+0000] {logging_mixin.py:190} INFO - R$ 1.619,99
[2024-10-04T23:26:41.738+0000] {logging_mixin.py:190} INFO - R$ 5.904,99
[2024-10-04T23:26:41.739+0000] {logging_mixin.py:190} INFO - R$ 1.039,99
[2024-10-04T23:26:41.740+0000] {logging_mixin.py:190} INFO - R$ 999,99
[2024-10-04T23:26:41.740+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:26:41.741+0000] {logging_mixin.py:190} INFO - R$ 2.904,99
[2024-10-04T23:26:41.742+0000] {logging_mixin.py:190} INFO - R$ 2.594,99
[2024-10-04T23:26:41.742+0000] {logging_mixin.py:190} INFO - R$ 3.379,99
[2024-10-04T23:26:41.743+0000] {logging_mixin.py:190} INFO - R$ 165,09
[2024-10-04T23:26:41.744+0000] {logging_mixin.py:190} INFO - R$ 640,04
[2024-10-04T23:26:41.744+0000] {logging_mixin.py:190} INFO - R$ 175,81
[2024-10-04T23:26:41.745+0000] {logging_mixin.py:190} INFO - R$ 834,15
[2024-10-04T23:26:41.745+0000] {logging_mixin.py:190} INFO - R$ 3.594,99
[2024-10-04T23:26:41.746+0000] {logging_mixin.py:190} INFO - R$ 2.879,99
[2024-10-04T23:26:41.746+0000] {logging_mixin.py:190} INFO - R$ 529,90
[2024-10-04T23:26:41.747+0000] {logging_mixin.py:190} INFO - R$ 1.402,20
[2024-10-04T23:26:41.747+0000] {logging_mixin.py:190} INFO - R$ 1.377,90
[2024-10-04T23:26:41.748+0000] {logging_mixin.py:190} INFO - R$ 4.209,99
[2024-10-04T23:26:41.749+0000] {logging_mixin.py:190} INFO - R$ 1.509,99
[2024-10-04T23:26:41.749+0000] {logging_mixin.py:190} INFO - R$ 4.994,99
[2024-10-04T23:26:41.750+0000] {logging_mixin.py:190} INFO - R$ 579,99
[2024-10-04T23:26:41.750+0000] {logging_mixin.py:190} INFO - R$ 964,99
[2024-10-04T23:26:41.751+0000] {logging_mixin.py:190} INFO - R$ 1.994,99
[2024-10-04T23:26:41.751+0000] {logging_mixin.py:190} INFO - R$ 1.679,99
[2024-10-04T23:26:41.752+0000] {logging_mixin.py:190} INFO - R$ 5.059,99
[2024-10-04T23:26:41.753+0000] {logging_mixin.py:190} INFO - R$ 2.199,99
[2024-10-04T23:26:41.753+0000] {logging_mixin.py:190} INFO - R$ 1.769,99
[2024-10-04T23:26:41.754+0000] {logging_mixin.py:190} INFO - R$ 333,93
[2024-10-04T23:26:41.754+0000] {logging_mixin.py:190} INFO - R$ 624,99
[2024-10-04T23:26:41.755+0000] {logging_mixin.py:190} INFO - R$ 569,90
[2024-10-04T23:26:41.756+0000] {logging_mixin.py:190} INFO - R$ 889,90
[2024-10-04T23:26:41.756+0000] {logging_mixin.py:190} INFO - R$ 752,85
[2024-10-04T23:26:41.757+0000] {logging_mixin.py:190} INFO - R$ 2.744,99
[2024-10-04T23:26:41.757+0000] {logging_mixin.py:190} INFO - R$ 5.685,00
[2024-10-04T23:26:41.758+0000] {logging_mixin.py:190} INFO - R$ 1.414,99
[2024-10-04T23:26:41.759+0000] {logging_mixin.py:190} INFO - R$ 1.489,99
[2024-10-04T23:26:41.759+0000] {logging_mixin.py:190} INFO - R$ 1.194,99
[2024-10-04T23:26:41.760+0000] {logging_mixin.py:190} INFO - R$ 1.299,99
[2024-10-04T23:26:41.760+0000] {logging_mixin.py:190} INFO - R$ 1.394,99
[2024-10-04T23:26:41.761+0000] {logging_mixin.py:190} INFO - R$ 1.094,99
[2024-10-04T23:26:41.762+0000] {logging_mixin.py:190} INFO - R$ 2.314,41
[2024-10-04T23:26:41.762+0000] {logging_mixin.py:190} INFO - R$ 1.406,15
[2024-10-04T23:26:41.763+0000] {logging_mixin.py:190} INFO - R$ 198,00
[2024-10-04T23:26:41.763+0000] {logging_mixin.py:190} INFO - R$ 577,07
[2024-10-04T23:26:41.764+0000] {logging_mixin.py:190} INFO - R$ 355,00
[2024-10-04T23:26:41.765+0000] {logging_mixin.py:190} INFO - R$ 1.299,99
[2024-10-04T23:26:41.765+0000] {logging_mixin.py:190} INFO - R$ 597,89
[2024-10-04T23:26:41.766+0000] {logging_mixin.py:190} INFO - R$ 2.095,75
[2024-10-04T23:26:41.766+0000] {logging_mixin.py:190} INFO - R$ 2.629,98
[2024-10-04T23:26:41.767+0000] {logging_mixin.py:190} INFO - R$ 2.674,99
[2024-10-04T23:26:41.768+0000] {logging_mixin.py:190} INFO - R$ 3.799,99
[2024-10-04T23:26:41.768+0000] {logging_mixin.py:190} INFO - R$ 2.444,99
[2024-10-04T23:26:41.769+0000] {logging_mixin.py:190} INFO - R$ 229,00
[2024-10-04T23:26:41.770+0000] {logging_mixin.py:190} INFO - R$ 709,90
[2024-10-04T23:26:41.770+0000] {logging_mixin.py:190} INFO - R$ 679,25
[2024-10-04T23:26:41.771+0000] {logging_mixin.py:190} INFO - R$ 225,63
[2024-10-04T23:26:41.772+0000] {logging_mixin.py:190} INFO - R$ 2.523,66
[2024-10-04T23:26:41.773+0000] {logging_mixin.py:190} INFO - R$ 164,11
[2024-10-04T23:26:41.773+0000] {logging_mixin.py:190} INFO - R$ 5.314,99
[2024-10-04T23:26:41.774+0000] {logging_mixin.py:190} INFO - R$ 1.945,00
[2024-10-04T23:26:41.775+0000] {logging_mixin.py:190} INFO - R$ 3.784,99
[2024-10-04T23:26:41.775+0000] {logging_mixin.py:190} INFO - R$ 2.769,99
[2024-10-04T23:26:41.776+0000] {logging_mixin.py:190} INFO - R$ 6.924,99
[2024-10-04T23:26:41.777+0000] {logging_mixin.py:190} INFO - R$ 2.089,99
[2024-10-04T23:26:41.777+0000] {logging_mixin.py:190} INFO - R$ 2.084,99
[2024-10-04T23:26:41.778+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:26:41.779+0000] {logging_mixin.py:190} INFO - R$ 2.294,99
[2024-10-04T23:26:41.779+0000] {logging_mixin.py:190} INFO - R$ 729,99
[2024-10-04T23:26:41.780+0000] {logging_mixin.py:190} INFO - R$ 2.394,99
[2024-10-04T23:26:41.780+0000] {logging_mixin.py:190} INFO - R$ 659,99
[2024-10-04T23:26:41.781+0000] {logging_mixin.py:190} INFO - R$ 3.399,99
[2024-10-04T23:26:41.781+0000] {logging_mixin.py:190} INFO - R$ 2.989,99
[2024-10-04T23:26:41.782+0000] {logging_mixin.py:190} INFO - R$ 2.804,99
[2024-10-04T23:26:41.783+0000] {logging_mixin.py:190} INFO - R$ 1.694,99
[2024-10-04T23:26:41.783+0000] {logging_mixin.py:190} INFO - R$ 1.158,93
[2024-10-04T23:26:41.784+0000] {logging_mixin.py:190} INFO - R$ 167,68
[2024-10-04T23:26:41.785+0000] {logging_mixin.py:190} INFO - R$ 418,67
[2024-10-04T23:26:41.785+0000] {logging_mixin.py:190} INFO - R$ 485,00
[2024-10-04T23:26:41.786+0000] {logging_mixin.py:190} INFO - R$ 567,67
[2024-10-04T23:26:41.787+0000] {logging_mixin.py:190} INFO - R$ 1.089,90
[2024-10-04T23:26:41.787+0000] {logging_mixin.py:190} INFO - R$ 659,90
[2024-10-04T23:26:41.788+0000] {logging_mixin.py:190} INFO - R$ 388,00
[2024-10-04T23:26:41.788+0000] {logging_mixin.py:190} INFO - R$ 544,00
[2024-10-04T23:26:41.789+0000] {logging_mixin.py:190} INFO - R$ 519,90
[2024-10-04T23:26:41.789+0000] {logging_mixin.py:190} INFO - R$ 1.529,10
[2024-10-04T23:26:41.790+0000] {logging_mixin.py:190} INFO - R$ 1.508,00
[2024-10-04T23:26:41.790+0000] {logging_mixin.py:190} INFO - R$ 438,89
[2024-10-04T23:26:41.791+0000] {logging_mixin.py:190} INFO - R$ 599,00
[2024-10-04T23:26:41.791+0000] {logging_mixin.py:190} INFO - R$ 365,90
[2024-10-04T23:26:41.792+0000] {logging_mixin.py:190} INFO - R$ 208,00
[2024-10-04T23:26:41.792+0000] {logging_mixin.py:190} INFO - R$ 219,90
[2024-10-04T23:26:41.793+0000] {logging_mixin.py:190} INFO - R$ 714,99
[2024-10-04T23:26:41.794+0000] {logging_mixin.py:190} INFO - R$ 1.964,99
[2024-10-04T23:26:41.794+0000] {logging_mixin.py:190} INFO - R$ 2.046,99
[2024-10-04T23:26:41.795+0000] {logging_mixin.py:190} INFO - R$ 1.984,99
[2024-10-04T23:26:41.795+0000] {logging_mixin.py:190} INFO - R$ 561,00
[2024-10-04T23:26:41.796+0000] {logging_mixin.py:190} INFO - R$ 763,90
[2024-10-04T23:26:41.796+0000] {logging_mixin.py:190} INFO - R$ 1.825,39
[2024-10-04T23:26:56.814+0000] {logging_mixin.py:190} INFO - R$ 240,13
[2024-10-04T23:26:56.814+0000] {logging_mixin.py:190} INFO - R$ 488,38
[2024-10-04T23:26:56.815+0000] {logging_mixin.py:190} INFO - R$ 159,90
[2024-10-04T23:26:56.816+0000] {logging_mixin.py:190} INFO - R$ 1.849,83
[2024-10-04T23:26:56.816+0000] {logging_mixin.py:190} INFO - R$ 550,00
[2024-10-04T23:26:56.817+0000] {logging_mixin.py:190} INFO - R$ 423,23
[2024-10-04T23:26:56.818+0000] {logging_mixin.py:190} INFO - R$ 503,90
[2024-10-04T23:26:56.818+0000] {logging_mixin.py:190} INFO - R$ 1.744,15
[2024-10-04T23:26:56.819+0000] {logging_mixin.py:190} INFO - R$ 520,54
[2024-10-04T23:26:56.820+0000] {logging_mixin.py:190} INFO - R$ 681,70
[2024-10-04T23:26:56.821+0000] {logging_mixin.py:190} INFO - R$ 668,90
[2024-10-04T23:26:56.822+0000] {logging_mixin.py:190} INFO - R$ 490,74
[2024-10-04T23:26:56.822+0000] {logging_mixin.py:190} INFO - R$ 604,99
[2024-10-04T23:26:56.823+0000] {logging_mixin.py:190} INFO - R$ 1.619,99
[2024-10-04T23:26:56.824+0000] {logging_mixin.py:190} INFO - R$ 2.899,99
[2024-10-04T23:26:56.825+0000] {logging_mixin.py:190} INFO - R$ 1.999,99
[2024-10-04T23:26:56.825+0000] {logging_mixin.py:190} INFO - R$ 240,31
[2024-10-04T23:26:56.826+0000] {logging_mixin.py:190} INFO - R$ 1.948,53
[2024-10-04T23:26:56.827+0000] {logging_mixin.py:190} INFO - R$ 625,01
[2024-10-04T23:26:56.827+0000] {logging_mixin.py:190} INFO - R$ 707,89
[2024-10-04T23:26:56.828+0000] {logging_mixin.py:190} INFO - R$ 834,00
[2024-10-04T23:26:56.829+0000] {logging_mixin.py:190} INFO - R$ 353,35
[2024-10-04T23:26:56.830+0000] {logging_mixin.py:190} INFO - R$ 480,00
[2024-10-04T23:26:56.830+0000] {logging_mixin.py:190} INFO - R$ 2.830,87
[2024-10-04T23:26:56.831+0000] {logging_mixin.py:190} INFO - R$ 2.341,33
[2024-10-04T23:26:56.832+0000] {logging_mixin.py:190} INFO - R$ 2.629,99
[2024-10-04T23:26:56.833+0000] {logging_mixin.py:190} INFO - R$ 3.125,36
[2024-10-04T23:26:56.834+0000] {logging_mixin.py:190} INFO - R$ 3.989,99
[2024-10-04T23:26:56.835+0000] {logging_mixin.py:190} INFO - R$ 11.194,99
[2024-10-04T23:26:56.835+0000] {logging_mixin.py:190} INFO - R$ 1.969,99
[2024-10-04T23:26:56.836+0000] {logging_mixin.py:190} INFO - R$ 1.929,99
[2024-10-04T23:26:56.837+0000] {logging_mixin.py:190} INFO - R$ 599,99
[2024-10-04T23:26:56.837+0000] {logging_mixin.py:190} INFO - R$ 757,20
[2024-10-04T23:26:56.838+0000] {logging_mixin.py:190} INFO - R$ 359,85
[2024-10-04T23:26:56.839+0000] {logging_mixin.py:190} INFO - R$ 1.565,95
[2024-10-04T23:26:56.839+0000] {logging_mixin.py:190} INFO - R$ 1.601,55
[2024-10-04T23:26:56.840+0000] {logging_mixin.py:190} INFO - R$ 1.809,90
[2024-10-04T23:26:56.841+0000] {logging_mixin.py:190} INFO - R$ 398,65
[2024-10-04T23:26:56.842+0000] {logging_mixin.py:190} INFO - R$ 1.231,19
[2024-10-04T23:26:56.842+0000] {logging_mixin.py:190} INFO - R$ 2.626,27
[2024-10-04T23:26:56.843+0000] {logging_mixin.py:190} INFO - R$ 673,89
[2024-10-04T23:26:56.844+0000] {logging_mixin.py:190} INFO - R$ 339,00
[2024-10-04T23:26:56.844+0000] {logging_mixin.py:190} INFO - R$ 1.146,59
[2024-10-04T23:26:56.845+0000] {logging_mixin.py:190} INFO - R$ 284,24
[2024-10-04T23:26:56.846+0000] {logging_mixin.py:190} INFO - R$ 1.844,00
[2024-10-04T23:26:56.847+0000] {logging_mixin.py:190} INFO - R$ 2.379,99
[2024-10-04T23:26:56.847+0000] {logging_mixin.py:190} INFO - R$ 1.804,99
[2024-10-04T23:26:56.848+0000] {logging_mixin.py:190} INFO - R$ 3.904,63
[2024-10-04T23:26:56.849+0000] {logging_mixin.py:190} INFO - R$ 495,99
[2024-10-04T23:26:56.849+0000] {logging_mixin.py:190} INFO - R$ 319,00
[2024-10-04T23:26:56.850+0000] {logging_mixin.py:190} INFO - R$ 1.899,99
[2024-10-04T23:26:56.850+0000] {logging_mixin.py:190} INFO - R$ 1.085,71
[2024-10-04T23:26:56.851+0000] {logging_mixin.py:190} INFO - R$ 1.359,99
[2024-10-04T23:26:56.852+0000] {logging_mixin.py:190} INFO - R$ 1.659,59
[2024-10-04T23:26:56.853+0000] {logging_mixin.py:190} INFO - R$ 459,40
[2024-10-04T23:26:56.853+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:26:56.854+0000] {logging_mixin.py:190} INFO - R$ 2.984,41
[2024-10-04T23:26:56.854+0000] {logging_mixin.py:190} INFO - R$ 3.079,99
[2024-10-04T23:26:56.855+0000] {logging_mixin.py:190} INFO - R$ 589,90
[2024-10-04T23:26:56.856+0000] {logging_mixin.py:190} INFO - R$ 3.181,81
[2024-10-04T23:26:56.856+0000] {logging_mixin.py:190} INFO - R$ 1.324,97
[2024-10-04T23:26:56.857+0000] {logging_mixin.py:190} INFO - R$ 559,99
[2024-10-04T23:26:56.858+0000] {logging_mixin.py:190} INFO - R$ 3.504,85
[2024-10-04T23:26:56.858+0000] {logging_mixin.py:190} INFO - R$ 567,54
[2024-10-04T23:26:56.859+0000] {logging_mixin.py:190} INFO - R$ 1.416,37
[2024-10-04T23:26:56.861+0000] {logging_mixin.py:190} INFO - R$ 1.935,00
[2024-10-04T23:26:56.862+0000] {logging_mixin.py:190} INFO - R$ 199,41
[2024-10-04T23:26:56.862+0000] {logging_mixin.py:190} INFO - R$ 448,00
[2024-10-04T23:26:56.863+0000] {logging_mixin.py:190} INFO - R$ 532,93
[2024-10-04T23:26:56.863+0000] {logging_mixin.py:190} INFO - R$ 1.129,00
[2024-10-04T23:26:56.864+0000] {logging_mixin.py:190} INFO - R$ 5.795,01
[2024-10-04T23:26:56.865+0000] {logging_mixin.py:190} INFO - R$ 986,91
[2024-10-04T23:26:56.865+0000] {logging_mixin.py:190} INFO - R$ 2.140,00
[2024-10-04T23:26:56.866+0000] {logging_mixin.py:190} INFO - R$ 980,35
[2024-10-04T23:26:56.866+0000] {logging_mixin.py:190} INFO - R$ 1.676,87
[2024-10-04T23:26:56.868+0000] {logging_mixin.py:190} INFO - R$ 695,21
