[2024-10-04T23:57:32.811+0000] {logging_mixin.py:190} INFO - R$ 689,99
[2024-10-04T23:57:32.812+0000] {logging_mixin.py:190} INFO - R$ 1.149,99
[2024-10-04T23:57:32.813+0000] {logging_mixin.py:190} INFO - R$ 939,99
[2024-10-04T23:57:32.813+0000] {logging_mixin.py:190} INFO - R$ 934,99
[2024-10-04T23:57:32.814+0000] {logging_mixin.py:190} INFO - R$ 1.169,99
[2024-10-04T23:57:32.815+0000] {logging_mixin.py:190} INFO - R$ 1.449,99
[2024-10-04T23:57:32.815+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:57:32.816+0000] {logging_mixin.py:190} INFO - R$ 499,90
[2024-10-04T23:57:32.817+0000] {logging_mixin.py:190} INFO - R$ 1.509,99
[2024-10-04T23:57:32.817+0000] {logging_mixin.py:190} INFO - R$ 517,85
[2024-10-04T23:57:32.818+0000] {logging_mixin.py:190} INFO - R$ 1.149,99
[2024-10-04T23:57:32.818+0000] {logging_mixin.py:190} INFO - R$ 1.594,99
[2024-10-04T23:57:32.819+0000] {logging_mixin.py:190} INFO - R$ 3.224,99
[2024-10-04T23:57:32.820+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:57:32.820+0000] {logging_mixin.py:190} INFO - R$ 338,44
[2024-10-04T23:57:32.821+0000] {logging_mixin.py:190} INFO - R$ 1.125,00
[2024-10-04T23:57:32.822+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:57:32.823+0000] {logging_mixin.py:190} INFO - R$ 447,35
[2024-10-04T23:57:32.823+0000] {logging_mixin.py:190} INFO - R$ 1.884,99
[2024-10-04T23:57:32.824+0000] {logging_mixin.py:190} INFO - R$ 484,99
[2024-10-04T23:57:32.824+0000] {logging_mixin.py:190} INFO - R$ 954,99
[2024-10-04T23:57:32.825+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:57:32.825+0000] {logging_mixin.py:190} INFO - R$ 2.659,99
[2024-10-04T23:57:32.826+0000] {logging_mixin.py:190} INFO - R$ 1.014,99
[2024-10-04T23:57:32.827+0000] {logging_mixin.py:190} INFO - R$ 458,63
[2024-10-04T23:57:32.828+0000] {logging_mixin.py:190} INFO - R$ 1.679,99
[2024-10-04T23:57:32.828+0000] {logging_mixin.py:190} INFO - R$ 1.179,99
[2024-10-04T23:57:32.829+0000] {logging_mixin.py:190} INFO - R$ 346,56
[2024-10-04T23:57:32.830+0000] {logging_mixin.py:190} INFO - R$ 240,00
[2024-10-04T23:57:42.035+0000] {logging_mixin.py:190} INFO - R$ 407,55
[2024-10-04T23:57:42.036+0000] {logging_mixin.py:190} INFO - R$ 199,00
[2024-10-04T23:57:42.037+0000] {logging_mixin.py:190} INFO - R$ 1.619,99
[2024-10-04T23:57:42.037+0000] {logging_mixin.py:190} INFO - R$ 5.904,99
[2024-10-04T23:57:42.038+0000] {logging_mixin.py:190} INFO - R$ 1.039,99
