[2024-09-30T23:09:37.663+0000] {logging_mixin.py:190} INFO - /produto/265624/placa-mae-asrock-a520m-hvs-amd-am4-matx-ddr4-90-mxbe60-a0uayz
[2024-09-30T23:09:37.664+0000] {logging_mixin.py:190} INFO - /produto/475265/placa-mae-gigabyte-a620m-ds3h-amd-am5-matx-ddr5-rgb
[2024-09-30T23:09:37.664+0000] {logging_mixin.py:190} INFO - /produto/505312/placa-mae-knup-a320-amd-ryzen-hdmi-ddr4-32gb-6-gb-s-usb-3-0
[2024-09-30T23:09:37.665+0000] {logging_mixin.py:190} INFO - /produto/461372/placa-mae-asus-tuf-gaming-h770-pro-wifi-intel-atx-ddr5-wi-fi-bluetooth-90mb1d50-m0eay0
[2024-09-30T23:09:37.666+0000] {logging_mixin.py:190} INFO - /produto/525051/placa-mae-asrock-b550m-phantom-gaming-4-amd-b550-matx-ddr4-90-mxbe9-
[2024-09-30T23:09:37.666+0000] {logging_mixin.py:190} INFO - /produto/376218/placa-mae-asus-rog-strix-x670e-f-gaming-wi-fi-amd-x670-am5-ddr5-90mb1ba0-m0eay0
[2024-09-30T23:09:37.667+0000] {logging_mixin.py:190} INFO - /produto/376213/placa-mae-asus-rog-crosshair-x670e-hero-amd-x670-am5-ddr5-wi-fi-90mb1bc0-m0eay0
[2024-09-30T23:09:37.667+0000] {logging_mixin.py:190} INFO - /produto/388071/placa-mae-asrock-h610m-hvs-m-atx-lga-1700-ddr4-hdmi-vga
[2024-09-30T23:09:37.668+0000] {logging_mixin.py:190} INFO - /produto/392047/placa-mae-asus-rog-strix-b650e-e-gaming-wi-fi-amd-am5-b650-atx-ddr5-wi-fi-90mb1bb0-m0eay0
[2024-09-30T23:09:37.669+0000] {logging_mixin.py:190} INFO - /produto/473649/placa-mae-asus-prime-z790m-plus-intel-lga-1700-matx-ddr5-rgb-90mb1e70-m0eay0
[2024-09-30T23:09:37.669+0000] {logging_mixin.py:190} INFO - /produto/628325/placa-mae-1151-h110-ddr4-6-7-8-e-9-geracao-i3-i5-e-i7
[2024-09-30T23:09:37.670+0000] {logging_mixin.py:190} INFO - /produto/617883/placa-mae-h61m-intel-lga-1155-ddr3
[2024-09-30T23:09:37.670+0000] {logging_mixin.py:190} INFO - /produto/534674/placa-mae-gigabyte-b650m-d3hp-amd-am5-micro-atx-ddr5
[2024-09-30T23:09:37.671+0000] {logging_mixin.py:190} INFO - /produto/427133/placa-mae-asus-rog-strix-b760-i-gaming-wifi-90mb1d90-m0eay0
[2024-09-30T23:09:37.672+0000] {logging_mixin.py:190} INFO - /produto/522308/placa-mae-colorful-cvn-z790-gaming-frozen-v20-lga-1700-intel-atx-ddr4-pcie5-0-13th-gen-intel-core-cvn-z790gf-ddr4-ww
[2024-09-30T23:09:41.505+0000] {logging_mixin.py:190} INFO - /produto/591936/placa-mae-b75-lga-1155-easy-eletronic-artssy-usb-3-0-rede-gigabit
[2024-09-30T23:09:41.506+0000] {logging_mixin.py:190} INFO - /produto/219941/placa-mae-gigabyte-b450m-gaming-amd-am4-matx-ddr4-chipset-amd-b450
[2024-09-30T23:09:41.507+0000] {logging_mixin.py:190} INFO - /produto/538450/placa-mae-asus-tuf-gaming-z790-btf-wifi-intel-lga1700-z790-ddr5-90mb1gu0-m0eay0
[2024-09-30T23:09:41.508+0000] {logging_mixin.py:190} INFO - /produto/525052/placa-mae-asrock-a520m-phantom-gaming-4-amd-a520-matx-ddr4-90-mxbek-
[2024-09-30T23:09:41.508+0000] {logging_mixin.py:190} INFO - /produto/392035/placa-mae-asus-prime-z790-a-wi-fi-intel-lga1700-z790-atx-ddr5-90mb1cs0-m0eay0
[2024-09-30T23:09:41.509+0000] {logging_mixin.py:190} INFO - /produto/548932/placa-mae-asus-prime-h770-plus-intel-atx-ddr5-90mb1ee0-m0eay0
[2024-09-30T23:09:41.510+0000] {logging_mixin.py:190} INFO - /produto/404816/placa-mae-asus-prime-b760m-a-intel-lga-1700-d4-matx-ddr4-90mb1d00-m0eay0
[2024-09-30T23:09:41.510+0000] {logging_mixin.py:190} INFO - /produto/548939/placa-mae-asus-tuf-gaming-b550-pro-amd-am4-atx-ddr4-90mb17r0-m0eay0
[2024-09-30T23:09:41.511+0000] {logging_mixin.py:190} INFO - /produto/392598/placa-mae-z790-p-msi-pro-wi-fi-intel-lga-1700-atx-ddr5-pro-z790-p-wifi
[2024-09-30T23:09:41.511+0000] {logging_mixin.py:190} INFO - /produto/232416/placa-mae-oxy-br-intel-h61-express-lga-1155-atx-e-matx-ddr3
[2024-09-30T23:09:41.512+0000] {logging_mixin.py:190} INFO - /produto/427129/placa-mae-asus-proart-z790-creator-intel-atx-ddr5-wifi-bluetooth-90mb1dv0-m1eay0
[2024-09-30T23:09:41.513+0000] {logging_mixin.py:190} INFO - /produto/521062/placa-mae-asus-rog-strix-z790-a-gaming-wifi-ii-intel-z790-atx-ddr5-90mb1fn0-m0aay0
[2024-09-30T23:09:41.514+0000] {logging_mixin.py:190} INFO - /produto/395126/placa-mae-gigabyte-z790-aero-g-rev-1-0-intel-lga1700-atx-ddr5-wi-fi-bluetooth-z790-aero-g
[2024-09-30T23:09:41.514+0000] {logging_mixin.py:190} INFO - /produto/521061/placa-mae-asus-rog-maximus-z790-dark-hero-intel-z790-atx-ddr5-90mb1f90-m0eay0
[2024-09-30T23:09:41.515+0000] {logging_mixin.py:190} INFO - /produto/521060/placa-mae-asus-rog-maximus-z790-apex-encore-intel-z790-atx-ddr5-90mb1fx0-m0aay0
[2024-09-30T23:09:41.516+0000] {logging_mixin.py:190} INFO - /produto/468086/placa-mae-gigabyte-b550m-ds3h-ac-am4-ddr4-3200mhz-matx-wi-fi-hdmi-dvi-d-usb-3-2
[2024-09-30T23:09:41.517+0000] {logging_mixin.py:190} INFO - /produto/442399/placa-mae-asus-tuf-gaming-b650m-plus-am5-microatx-ddr5
[2024-09-30T23:09:41.518+0000] {logging_mixin.py:190} INFO - /produto/498971/placa-mae-msi-pro-z790-a-max-atx-ddr5-wi-fi-rgb-bluetooth
[2024-09-30T23:09:41.519+0000] {logging_mixin.py:190} INFO - /produto/495666/placa-mae-msi-b760-gaming-plus-intel-lga-1700-atx-ddr5-bluetooth-wifi-chipset-b760-911-7d98-007
[2024-09-30T23:09:41.519+0000] {logging_mixin.py:190} INFO - /produto/312739/placa-mae-asus-prime-d4-intel-lga-1700-matx-ddr4-h610m-e
[2024-09-30T23:09:41.520+0000] {logging_mixin.py:190} INFO - /produto/133767/placa-mae-asrock-b450m-steel-legend-amd-am4-matx-ddr4
[2024-09-30T23:09:41.521+0000] {logging_mixin.py:190} INFO - /produto/376217/placa-mae-asus-rog-strix-x670e-e-gaming-wi-fi-amd-x670-am5-ddr5-90mb1br0-m0eay0
[2024-09-30T23:09:41.522+0000] {logging_mixin.py:190} INFO - /produto/461374/placa-mae-asus-rog-strix-b760-g-gaming-wifi-intel-matx-ddr5-wi-fi-bluetooth-90mb1eq0-m0eay0
[2024-09-30T23:09:41.522+0000] {logging_mixin.py:190} INFO - /produto/522300/placa-mae-colorful-battle-ax-b550m-d-gaming-frozen-v14-chipset-b550-amd-am4-maxt-ddr4-bax-b550md-ddr4-ww
[2024-09-30T23:09:41.523+0000] {logging_mixin.py:190} INFO - /produto/458887/placa-mae-msi-pro-h510m-b-intel-m-atx-ddr4-pro-h510m-b
[2024-09-30T23:09:41.524+0000] {logging_mixin.py:190} INFO - /produto/474959/placa-mae-asus-prime-h510m-k-r2-0-lga-1200-90mb1e80-m0eay0
[2024-09-30T23:09:41.524+0000] {logging_mixin.py:190} INFO - /produto/396232/placa-mae-knup-intel-1151-h110-6-e-7-geracao-2xddr4-m-2-hdmi-e-vga-kp-h110
[2024-09-30T23:09:41.525+0000] {logging_mixin.py:190} INFO - /produto/376232/placa-mae-asus-proart-x670e-creator-wi-fi-amd-x670-am5-ddr5-90mb1b90-m0eay0
[2024-09-30T23:09:41.526+0000] {logging_mixin.py:190} INFO - /produto/591935/placa-mae-easy-h81-intel-lga-1150-eletronic-artssy-para-intel-de-4-e-5-geracao-ddr3
[2024-09-30T23:09:41.526+0000] {logging_mixin.py:190} INFO - /produto/505794/placa-mae-gigabyte-b650m-d3hp-am5-ddr5-hdmi-displayport-usb-3-2-m-2
[2024-09-30T23:09:41.527+0000] {logging_mixin.py:190} INFO - /produto/527618/placa-mae-gigabyte-b550m-aorus-elite-ax-wifi-am4-micro-atx-ddr4
[2024-09-30T23:09:41.527+0000] {logging_mixin.py:190} INFO - /produto/522305/placa-mae-colorful-battle-ax-b760m-t-pro-v20-intel-lga-1700-itx-para-core-de-13-e-12-geracao-pcie-5-0-cvn-b760mtp-ddr4
[2024-09-30T23:09:41.528+0000] {logging_mixin.py:190} INFO - /produto/534518/placa-mae-gigabyte-b550-aorus-elite-ax-v2-amd-am4-atx-ddr4-wi-fi-rgb
[2024-09-30T23:09:41.529+0000] {logging_mixin.py:190} INFO - /produto/521841/placa-mae-asus-prime-b760-plus-intel-m-atx-ddr5-rgb-90mb1ef0-m1eay0
[2024-09-30T23:09:41.529+0000] {logging_mixin.py:190} INFO - /produto/405783/placa-mae-msi-mag-b760-tomahawk-intel-lga-1700-atx-ddr4-wi-fi-bluetooth-mag-b760-tomahawk-wifi-ddr4
[2024-09-30T23:09:41.530+0000] {logging_mixin.py:190} INFO - /produto/447411/placa-mae-gigabyte-z790-ud-ax-intel-lga-1700-atx-ddr5-wi-fi-bluetooth-z790-ud-ax-8203
[2024-09-30T23:09:41.531+0000] {logging_mixin.py:190} INFO - /produto/587808/placa-mae-afox-ih61-ma5-v6-chipset-h61-intel-lga-1155-matx-ddr3
[2024-09-30T23:09:41.532+0000] {logging_mixin.py:190} INFO - /produto/460934/placa-mae-asus-prime-b450m-aii-am4-m-2-hdmi-ddr4-3575
[2024-09-30T23:09:41.532+0000] {logging_mixin.py:190} INFO - /produto/596423/placa-mae-asus-tuf-gaming-b760m-btf-wifi-intel-lga1700-b760-ddr5-90mb1g50-m0eay0
